微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IuSIOoE7n,2020年2月18日0-24时，江苏省报告新型冠状病毒肺炎新增确诊病例2例，均为普通型病例。新增出院病例33例。新增确诊病例中，南京市1例、常州市1例。其中，1例43岁，1例32岁，均为女性，已在定点医院救治，病情平稳。江苏新增2例新型冠状病毒肺炎确诊病例  ,,无,无,无,2020-02-19 08:48,OPPO R9,17,0,9
IuSCZDcRx,#微观民生# 上阵父子兵！这对泰州父子同获“骏马奖”！上阵父子兵！这对泰州父子同获“骏马奖”！  ,,无,无,无,2020-02-19 08:33,OPPO R9,13,1,7
IuSinAjtg,#今日天气# 早安，泰州！今天白天到夜里多云到阴，偏南风3到4级。今天最高气温：11℃，明晨最低气温：1℃。  原图 ,,http://wx2.sinaimg.cn/large/be780da6ly1gc1dbd5bntj208m062mx2.jpg,无,无,2020-02-19 07:42,OPPO R9,3,0,1
IuOpTnh5Y,#送硬核江苏上热搜##微观民生# 疫情下的泰州医药产业（下）| 赋能提升疫情下的泰州医药产业（下）| 赋能提升  ,,无,无,无,2020-02-18 21:50,OPPO R9,1,0,0
IuNEwvVfj,#微观民生# 【高港：政务服务“走心”，便民利企“暖心”】高港：政务服务“走心”，便民利企“暖心”  ,,无,无,无,2020-02-18 19:53,OPPO R9,1,1,2
IuNDj8YeE,#微观民生# “四畅通五优化”！市市场监管局出台关于应对疫情支持企业复工复产、健康发展的九条措施【品 • 头条】“四畅通五优化”！市市场监管局出台关于应对疫情支持企业复工复产、健康发展的九条措施  ,,无,无,无,2020-02-18 19:50,OPPO R9,0,1,1
IuMGZbU4e,#微观民生# 18日，扬州泰州国际机场发布计划恢复部分航班的通告，春秋航空、深圳航空和华夏航空的多个航班即将恢复运行。通告  ,,无,无,无,2020-02-18 17:27,微博 weibo.com,54,3,20
IuMDlbokq,时隔22年，祖海含泪重录《为了谁》（武汉版），当年MV正是在武汉拍摄的……  ,,无,无,无,2020-02-18 17:18,360安全浏览器,2,1,0
IuMCtmWgD,#微观民生# 本色 本领 本职——泰州市卫生监督所防控战“疫”在行动本色 本领 本职 --泰州市卫生监督所防控战“疫”在行动  ,,无,无,无,2020-02-18 17:15,360安全浏览器,0,0,0
IuMnUlHfu,#微观民生#【扬子江药业捐赠2000余万元物资】面对新型冠状病毒肺炎疫情，近几日，扬子江药业集团向部分急需物资的医疗机构捐赠价值2000余万元的物资，支援抗击疫情。目前，各项捐赠活动仍在持续中。  ,,无,无,无,2020-02-18 16:40,微博 weibo.com,19,3,3
IuM6zCq5P,#送硬核江苏上热搜# #微观民生# 有序买菜，请保持1米以上距离！农贸市场操作规范出台【防疫】有序买菜，请保持1米以上距离！农贸市场操作规范出台  ,,无,无,无,2020-02-18 15:57,360安全浏览器,4,1,1
IuM63adIK,#微观民生#【刘庄社区织起爱心防疫网】小区出行管控已进入第二个周期，社区防疫工作也进入攻坚阶段。当下，各小区除封闭管理、设置关卡、对进出小区人员严格把控之外，还练就“十八般武艺”。医药高新区凤凰街道刘庄社区就有不少硬核举措和暖心故事。70名党员参与疫情防控包干，22只喇叭让政策“声”入民心，爱心涌动关心社区困难群体……社区用“超刚”的防疫举措和人性化的服务理念，赢得了居民们较高的支持率和参与度。突发疫情下，刘庄社区对基层治理能力和基层党建水平是否强有力这个考题，交出了满意的答卷。 [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/be780da6gy1gc0dpw5bccj20b40680v8.jpg,http://ww4.sinaimg.cn/large/be780da6gy1gc0dpw681sj20b4068mzj.jpg,http://ww1.sinaimg.cn/large/be780da6gy1gc0dpw4oluj20b4068mym.jpg",无,无,2020-02-18 15:56,微博 weibo.com,1,0,1
IuLyLoWBx,#微观民生#【泰州客运集团 推出定制通勤包车服务】为贯彻落实好交通运输部关于春运返程高峰运输服务保障工作相关精神，根据市委市政府的决策部署，即日起，泰州客运集团可提供点对点、一站式包车服务，为企业复工、职工返岗、学生返校提供便利的安全出行保障。泰州客运集团现拥有各类型高等级客车、中巴、商务车、小轿车400余辆，可提供点对点、一站式的定制包车和通勤包车等服务。 ,,无,无,无,2020-02-18 14:34,微博 weibo.com,15,2,17
IuLfhtiTb,#微观民生#【新卫消毒剂厂第二条生产线投产】一瓶瓶乙醇消毒液有节律地从罐装生产线流出，经人工贴上商标、包装后成为千家万户防疫的消毒必需品。近日，位于兴化经济开发区的兴化市新卫消毒剂厂乙醇消毒液第二条生产线正紧张生产。目前，两条生产线已满负荷生产，每条生产线产量都达到每日5吨的设计产能。为满足生产需求，兴化市人社局启动企业专项招工。 ,,无,无,无,2020-02-18 13:46,微博 weibo.com,0,0,1
IuKMsCjo5,#微观民生#【服务企业复工，扬泰机场可定制“飞的”】为服务企业复工需要，即日起扬州泰州国际机场联合春秋航空股份有限公司推出包机定制服务，周边城市的企业可包机接送员工返岗。企业如有复工需求可联系春秋航空或者扬州泰州国际机场。春秋航空在扬州泰州国际机场有6架驻场A320空客飞机，可从全国任何机场接送企业员工往返扬州泰州国际机场。详细情况可联系春秋航空，联络人刘先生18901799601；扬泰机场联络人：蒋先生18936269977。 ,,无,无,无,2020-02-18 12:35,微博 weibo.com,10,1,10
IuKrmbN1w,#微观民生#【江苏长江商业银行推出复工应急贷】2月10日起，我市企业开始有序复工。为了让新冠病毒肺炎疫情期间复工的小微企业有资金周转，江苏长江商业银行推出了复工应急贷款。产品推出仅3天，就为22户小微企业提供信贷资金525万元，其中大部分贷款都是在24小时内办结。  ,,无,无,无,2020-02-18 11:43,微博 weibo.com,3,1,0
IuKk3cw4n,#微观民生# 泰州又一例新冠肺炎患者康复出院！泰州又一例新冠肺炎患者康复出院！  ,,无,无,无,2020-02-18 11:25,微博 weibo.com,16,4,5
IuKbcurlS,#送硬核江苏上热搜# #微观民生# 泰州市效能建设领导小组关于首批新冠肺炎疫情防控工作“骏马奖”的通报重磅发布！首批新冠肺炎疫情防控工作“骏马奖”来了  ,,无,无,无,2020-02-18 11:03,360安全浏览器,8,1,0
IuK59ebAp,#微观民生#【防疫发展“两手抓” 奋力夺取“双胜利”】 一手抓防控疫情，一手抓复工复产。连日来，在做好防疫工作的前提下，全市各地开始有序复工复产，努力降低疫情对生产经营的影响，稳定经济运行。  [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/be780da6gy1gc0d1zp5zoj20b407ewhb.jpg,http://ww3.sinaimg.cn/large/be780da6gy1gc0d1zqiw7j20b408cgor.jpg,http://ww4.sinaimg.cn/large/be780da6gy1gc0d1zrkwfj20b408bad8.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gc0d1zv4pej20b4068q4w.jpg",无,无,2020-02-18 10:48,360安全浏览器,2,3,5
IuJD99g5o,#微观民生# 图示泰州市新型冠状病毒肺炎疫情  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/be780da6gy1gc0b25h6wnj216f0u0n1w.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gc0b28dus6j20u016en36.jpg",无,无,2020-02-18 09:39,OPPO R9,13,4,10
IuJvJpAlP,泰州市新型冠状病毒肺炎疫情通报:2月18日，经江苏省卫生健康委确认，我市无新增确诊新型冠状病毒肺炎病例。新增1例治愈出院病例，为兴化市病例。泰州市新型冠状病毒肺炎疫情通报，新增出院病例1例  ,,无,无,无,2020-02-18 09:21,OPPO R9,42,4,9
IuJhLApY2,2020年2月17日0-24时，江苏省报告新型冠状病毒肺炎新增确诊病例3例，均为普通型病例。新增出院病例37例。新增确诊病例中，常州市1例、苏州市1例、淮安市1例。其中，年龄最大的65岁，最小的49岁。男性2人，女性1人。所有病例均已在定点医院救治，病情平稳。江苏新增3例新型冠状病毒肺炎确诊病例  ,,无,无,无,2020-02-18 08:46,OPPO R9,15,6,13
IuIM7xqUr,#今日天气# 早安，泰州！今天晴到多云，偏南风3到4级。今天最高气温：9～10℃，明晨最低气温：0℃左右。  原图 ,,http://wx3.sinaimg.cn/large/be780da6gy1gc07aanhl3j207q058mx9.jpg,无,无,2020-02-18 07:28,OPPO R9,6,1,0
IuFiTmRg0,我分享了文章 特别提醒！进农贸市场、到超市购物，必须凭市民出入券  ,,无,无,无,2020-02-17 22:38,OPPO R9,5,0,5
IuFbG3ezq,#微观民生# 驰援湖北的勇士们有了志愿后援团！你守护大家，我来温暖你的小家。驰援湖北的勇士们有了志愿后援团！你守护大家，我来温暖你的小家  ,,无,无,无,2020-02-17 22:20,OPPO R9,3,0,0
IuEvLc0A0,#送硬核江苏上热搜##微观民生# 疫情下的泰州医药产业（中）丨非常之举疫情下的泰州医药产业（中）丨非常之举  ,,无,无,无,2020-02-17 20:37,OPPO R9,2,0,3
IuEhHdmP7,#微观民生# 战“疫”时刻·泰州24小时战“疫”时刻·泰州24小时  ,,无,无,无,2020-02-17 20:02,OPPO R9,2,1,1
IuD2Mv0rV,#微观民生# 同心战“疫”！同心战“疫”！  ,,无,无,无,2020-02-17 16:53,OPPO R9,5,0,1
IuCZ7Ca3W,苏Ｍ车主注意｜复工在即，车管业务推新举！苏Ｍ车主注意｜复工在即，车管业务推新举！  ,,无,无,无,2020-02-17 16:44,OPPO R9,6,0,8
IuBWAByKZ,上海局集团有限公司新长车务段继续停运部分列车继续停运！  ,,无,无,无,2020-02-17 14:05,OPPO R9,3,0,5
IuBVQdSFG,#微观民生# 海陵区应对新型冠状病毒肺炎疫情工作领导小组办公室发布关于规范使用市民出入券的通告通告！  ,,无,无,无,2020-02-17 14:03,OPPO R9,6,1,1
IuB6PjavT,以实干担当决胜“全民战疫”！今天，新华日报头版关注泰州……以实干担当决胜“全民战疫”！今天，新华日报头版关注泰州……  ,,无,无,无,2020-02-17 11:57,OPPO R9,7,5,1
IuAZ7aedo,靖江连续5日无新增，入靖条件放宽！关于印发靖江市交通管控实施细则的通知靖江连续5日无新增！入靖条件放宽！关于印发靖江市交通管控实施细则的通知  ,,无,无,无,2020-02-17 11:38,OPPO R9,3,0,2
IuAog86uY,一组漫画提醒您：减少出门，不要聚集！一组漫画提醒您：减少出门，不要聚集！  ,,无,无,无,2020-02-17 10:07,OPPO R9,1,2,3
IuA6Vpbqq,#微观民生# 图示泰州市新型冠状病毒肺炎疫情  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/be780da6gy1gbz5186zmzj216f0u0jw3.jpg,http://ww3.sinaimg.cn/large/be780da6gy1gbz518wsdej20u016fdlf.jpg",无,无,2020-02-17 09:25,OPPO R9,17,7,9
IuA1Y8LBl,2月17日，经江苏省卫生健康委确认，我市无新增确诊新型冠状病毒肺炎病例。新增4例治愈出院病例，为高港区2例，海陵区1例，医药高新区1例。泰州市新型冠状病毒肺炎疫情通报，新增出院病例4例  ,,无,无,无,2020-02-17 09:13,OPPO R9,33,4,9
IuzQxwKX0,2020年2月16日0-24时，江苏省报告新型冠状病毒肺炎新增确诊病例9例。其中，轻型病例1例，普通型病例8例。新增出院病例36例。新增确诊病例中，无锡市2例、徐州市1例、常州市3例、淮安市2例、扬州市1例。其中，年龄最大的72岁，最小的21岁。男性4人，女性5人。所有病例均已在定点医院救治，病情平稳。http://t.cn/A6h62F1M ,,无,无,无,2020-02-17 08:44,OPPO R9,39,2,26
IuzbzauBs,#今日天气# 早安，泰州！今天晴到少云，西北风5到6级，阵风7级。今天最高气温：7℃，明晨最低气温：-4℃，有冰冻。  原图 ,,http://wx2.sinaimg.cn/large/be780da6gy1gbz0y71ookj208n06dgln.jpg,无,无,2020-02-17 07:03,OPPO R9,3,0,0
IuwpnEHm4,#送硬核江苏上热搜##微观民生# 泰州精准施策跑出复产复工“加速度”！新华社今日推荐泰州精准施策跑出复产复工“加速度”！新华社今日推荐  ,,无,无,无,2020-02-16 23:59,OPPO R9,15,1,12
Iuwp7pvid,#微观民生# 我不是英雄，只是有人需要我！我不是英雄，只是有人需要我！  ,,无,无,无,2020-02-16 23:59,OPPO R9,3,5,3
IuvxjywgA,#微观民生# 暖心！每天1.4万个，姜堰为市民配送平价早点暖心！每天1.4万个，姜堰为市民配送平价早点  ,,无,无,无,2020-02-16 21:46,OPPO R9,4,0,2
Iuv1QaEIb,#微观民生# 雪后初霁，是这样的泰州！雪后初霁，是这样的泰州！  ,,无,无,无,2020-02-16 20:28,OPPO R9,5,2,1
IuufazUY1,专家：江苏疫情控制取得阶段性成效，但一点也不能掉以轻心专家：江苏疫情控制取得阶段性成效，但一点也不能掉以轻心  ,,无,无,无,2020-02-16 18:29,OPPO R9,14,0,5
IutWZ1TAN,#送硬核江苏上热搜##微观民生# 疫情下的泰州医药产业（上）丨泰州担当疫情下的泰州医药产业（上）丨泰州担当  ,,无,无,无,2020-02-16 17:44,OPPO R9,16,1,4
Iutdi73eo,#送硬核江苏上热搜##微观民生# 关于“菜篮子”的“必答题”，泰州是这么解的……关于“菜篮子”的“必答题”，泰州是这么解的……  ,,无,无,无,2020-02-16 15:51,OPPO R9,4,1,4
IusXncozn,#微观民生# 送一份姜汤，道一声辛苦！特别的爱给特别的你……送一份姜汤，道一声辛苦！特别的爱给特别的你……  ,,无,无,无,2020-02-16 15:12,OPPO R9,5,0,1
IusmlsDxT,市行政审批局关于加强疫情防控做好政务服务利企便民工作的通知通知  ,,无,无,无,2020-02-16 13:41,OPPO R9,16,2,6
IurQlfamZ,#微观民生# 短发、勒痕、纸尿裤、浑身湿透……这群勇士真让人心疼！短发、勒痕、纸尿裤、浑身湿透……这群勇士真让人心疼！  ,,无,无,无,2020-02-16 12:22,OPPO R9,7,0,0
Iurh8aOdE,#微观民生# 从严从快，依法查处！市市场监管局公布第四批疫情防控期间违法案例。从严从快，依法查处！市市场监管局公布第四批疫情防控期间违法案例  ,,无,无,无,2020-02-16 10:55,OPPO R9,2,0,2
IuqOi8Z83,#微观民生# 【无新增病例！】图示泰州市新型冠状病毒肺炎疫情  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/be780da6gy1gbxzz04h14j216f0u0gqb.jpg,http://ww3.sinaimg.cn/large/be780da6gy1gbxzz2bvnzj20u016en37.jpg",无,无,2020-02-16 09:44,OPPO R9,72,5,49
IuqN6zV8L,#微观民生# 车辆增加，司机配齐！即日起发热请联系“120”车辆增加，司机配齐！即日起发热请联系“120”  ,,无,无,无,2020-02-16 09:41,OPPO R9,3,1,0
IuqMdAtOz,2020年2月15日0-24时，江苏省报告新型冠状病毒肺炎新增确诊病例13例。其中，轻型病例1例，普通型病例12例。新增出院病例30例。新增重型病例3例（其中2例原为普通型病例，1例原为危重型病例）；1例重型病例符合新冠肺炎出院标准，1例转为普通型病例，1例转为危重型病例。新增危重型病例1例（原为重型病例），另有1例危重型病例转为重型病例。新增确诊病例中，南京市1例、无锡市1例、徐州市1例、常州市3例、连云港市2例、淮安市3例、扬州市1例、宿迁市1例。其中，年龄最大的68岁，最小的8岁。男性9人，女性4人。所有病例均已在定点医院救治，病情平稳。http://t.cn/A6hM90lU ,,无,无,无,2020-02-16 09:39,OPPO R9,17,0,8
IuqqA3une,#微观民生# 一线医务人员请查收！我市发文推出“十项举措”……一线医务人员请查收！我市发文推出“十项举措”……  ,,无,无,无,2020-02-16 08:46,OPPO R9,3,1,1
IuqkyftoP,#送硬核江苏上热搜##微观民生# 【我市启动核酸检测为企业复工服务】昨天，泰州市应对新型冠状病毒肺炎疫情工作领导小组办公室下发《关于支持复工重点企业市外员工来泰有关事项的通知》，为企业复工复产、员工安全健康添加了一道“防护盾”。我市启动核酸检测为企业复工服务  ,,无,无,无,2020-02-16 08:31,OPPO R9,11,4,6
IuqiP2mdc,#微观民生#【雨雪中的您，辛苦了！】 雨雪中的您，辛苦了！  ,,无,无,无,2020-02-16 08:27,OPPO R9,4,1,1
Iuqdzmoj8,#今日天气# 早安，泰州！今天多云转晴，西北风4到5级，阵风6到7级，晚上减弱至3到4级。今天最高气温：3℃，明晨最低气温：-3℃，有冰冻。  ,,无,无,无,2020-02-16 08:14,OPPO R9,0,6,0
IumgkzcKD,#微观民生# 今天，泰州又有4名民警火线立功受奖！今天，泰州又有4名民警火线立功受奖！  ,,无,无,无,2020-02-15 22:09,OPPO R9,7,1,1
IumdZtxU0,#微观民生# 别担心，有我们在！大爱泰州正奏响“爱”的最强音别担心，有我们在！大爱泰州正奏响“爱”的最强音  ,,无,无,无,2020-02-15 22:04,OPPO R9,4,0,2
IulnH0mFI,#微观民生# 泰州，请不要下雪！泰州，请不要下雪！  ,,无,无,无,2020-02-15 19:55,OPPO R9,25,0,13
IuliUnf5B,#送硬核江苏上热搜##微观民生# 泰州市新型冠状病毒感染肺炎防控 相关劳动关系政策十问十答泰州市新型冠状病毒感染肺炎防控 相关劳动关系政策十问十答  ,,无,无,无,2020-02-15 19:43,OPPO R9,14,2,2
IulhJ4XKL,#微观民生# 近日，周恩来总理后人、全国政协委员周秉建及其子、恩来教育董事长周日和，携友人陈宇凌，向姜堰抗击疫情的一线工作人员捐赠了7500副医用手套。周恩来总理后人，向泰州这个地方定向捐赠…  ,,无,无,无,2020-02-15 19:40,OPPO R9,17,0,1
Iulh1CXXW,关于设立泰州市交通运输服务热线电话的通告通告  ,,无,无,无,2020-02-15 19:38,OPPO R9,66,3,20
IukC9d7kK,2月17日零时起，免费！2月17日零时起，免费！  ,,无,无,无,2020-02-15 17:58,OPPO R9,6,2,5
IujsyjdXu,#微观民生# 复工后，他们这些“硬核”做法亮了！复工后，他们这些“硬核”做法亮了！  ,,无,无,无,2020-02-15 15:01,OPPO R9,4,0,6
IuiYkBNjp,#微观民生# 一位“驻厂员”的一天一位“驻厂员”的一天  ,,无,无,无,2020-02-15 13:47,OPPO R9,1,0,0
IuihniqR0,#微观民生# 【战“疫”】疫情防控、物流运输、用工招工……有困难，找“驻厂员”【战“疫”】疫情防控、物流运输、用工招工……有困难，找“驻厂员”  ,,无,无,无,2020-02-15 12:01,OPPO R9,2,1,5
Iui4AcBKk,#微观民生# 泰州城区各大超市营业时间公布，最早7点半开门，别扎堆啦……泰州城区各大超市营业时间公布，最早7点半开门，别扎堆啦……  ,,无,无,无,2020-02-15 11:30,OPPO R9,5,0,0
Iuhbyb98m,#微观民生# 图示泰州市新型冠状病毒肺炎疫情  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/be780da6gy1gbwthc60b6j216f0u0gqb.jpg,http://ww4.sinaimg.cn/large/be780da6gy1gbwthe4riaj20u016en37.jpg",无,无,2020-02-15 09:14,OPPO R9,21,2,11
Iuh2CFUNY,2月15日，经江苏省卫生健康委确认，我市无新增确诊新型冠状病毒肺炎病例。新增1例治愈出院病例，为靖江市病例。泰州市新型冠状病毒肺炎疫情通报（19）  ,,无,无,无,2020-02-15 08:52,OPPO R9,33,4,12
IugZO6fFh,2020年2月14日0-24时，江苏省报告新型冠状病毒肺炎新增确诊病例11例，均为普通型病例。新增出院病例23例。新增确诊病例中，无锡市1例、徐州市1例、苏州市1例、南通市1例、连云港市1例、淮安市4例、盐城市1例、扬州市1例。其中，年龄最大的77岁，最小的19岁。男性2人，女性9人。所有病例均已在定点医院救治，病情平稳。http://t.cn/A6hcsZiQ ,,无,无,无,2020-02-15 08:45,OPPO R9,5,2,6
IugAk4oVR,#今日天气# 早安，泰州！今天白天阴有小雨，傍晚到夜里转雨夹雪或雪，雨雪量小到中等，早晨中南部有雾。西北风5到6级，阵风7级。今天最高气温：9～10℃，明晨最低气温：-1～-2℃，部分地区有冰冻。  原图 ,,http://wx2.sinaimg.cn/large/be780da6gy1gbwqtykixkj207z064glt.jpg,无,无,2020-02-15 07:42,OPPO R9,0,1,0
IudtxbaMl,#权威发布# 刚刚，市委书记史立军视频连线我市援助湖北省防控新冠肺炎疫情的三批医疗队队员，代表市委、市政府以及家乡人民向奋战在抗疫最前线的广大医护人员表示诚挚问候、致以崇高敬意，期盼泰州人民的骄傲、“最美逆行者”圆满完成任务、平安凯旋。家乡人民期盼你们平安凯旋！刚刚，史立军视频连线我市援助湖北医疗队队员……  ,,无,无,无,2020-02-14 23:47,OPPO R9,12,2,1
Iucd284vz,特快！我市农贸市场新冠肺炎防控操作规范正式出台！特快！我市农贸市场新冠肺炎防控操作规范正式出台！  ,,无,无,无,2020-02-14 20:34,OPPO R9,2,1,0
IubJh4V4q,靖江，一座温暖的城市！来自新冠肺炎治愈者的亲述！靖江，一座温暖的城市！来自新冠肺炎治愈者的亲述！  ,,无,无,无,2020-02-14 19:21,微博 weibo.com,15,1,1
IubqcdYpc,#微观民生# 今天，他在战“疫”前线宣誓入党！今天，他在战“疫”前线宣誓入党！  ,,无,无,无,2020-02-14 18:34,微博 weibo.com,2,0,0
Iub55t6uQ,#微观民生#【微型消防车“变身”防疫宣传大使】“新肺炎，扩散快，严防死守这一带。一人染，全家病，严重起来真要命！病源地，在武汉，返乡人员多察看。戴口罩，勤消毒，饭菜一定要煮熟。呆家中，不出行，新型病毒总会停。莫谣言，勿恐慌，要信科学和中央。” 近日，医药高新区野徐镇仲联社区一辆微型消防车“变身”防疫宣传车，贴上醒目的红色标语，再装上高音喇叭，穿梭在大街小巷，循环播放公告、通知、倡议书以及自制的“土味硬核”宣传音频，“声音洪亮”地向居民传达最新疫情信息及防疫知识。这辆微型消防宣传车成为宣传疫情防控的“移动阵地”，也成为仲联社区一道靓丽的“风景”。 原图 ,,http://wx1.sinaimg.cn/large/be780da6gy1gbvqxnq5caj20b408c40z.jpg,无,无,2020-02-14 17:42,微博 weibo.com,3,2,0
IuaMPafMj,#微观民生#【构筑群防群治的严密防线】连日来，为切实抓好疫情防控工作，姜堰区广大干部群众齐心协力、众志成城，全面落实疫情监测、宣传教育等联防联控措施，积极构筑群防群治的严密防线，保护人民群众生命安全。  [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/be780da6gy1gbvqv9f2n6j20b407edht.jpg,http://ww4.sinaimg.cn/large/be780da6gy1gbvqv9jdhxj20b407e76y.jpg,http://ww1.sinaimg.cn/large/be780da6gy1gbvqv9gcjhj20b407vq50.jpg",无,无,2020-02-14 16:57,微博 weibo.com,3,1,3
Iuaq5DDTf,#微观民生#【苏陈志愿者书写2000多份“抗疫”标语】“把人民群众生命安全和身体健康放在第一位”“强保护，不恐慌、信科学、不传谣”“今年过年不聚会，你我平安最宝贵”……近日，一幅幅手写的红纸标语出现在海陵区苏陈镇的大街小巷。新型冠状病毒肺炎疫情发生后，苏陈镇党委、政府迅速行动起来，在进行全方位、立体化排查走访的同时，也加大了防疫、抗疫工作的宣传力度。发出书写、张贴宣传标语的倡议后，党员干部、文化志愿者自告奋勇纷纷报名，大家自掏腰包买来纸墨笔砚，数个小时手不释笔，2000多份宣传标语在他们手里诞生。 原图 ,,http://wx3.sinaimg.cn/large/be780da6gy1gbvqt6dy6gj20b408cgnw.jpg,无,无,2020-02-14 16:01,微博 weibo.com,5,2,0
IuacEDy1U,#微观民生# 寒潮黄色预警黄色预警！  ,,无,无,无,2020-02-14 15:27,360安全浏览器,1,0,3
Iua4ZbVl9,#微观民生#【理发店开进派出所】2月12日，市公安局高港分局口岸派出所内，一名理发师正忙着为民警、辅警理发。抗疫一线，口岸派出所里好些个成员10多天没回家，加上辖区理发店一直处于关门状态，大家自嘲快成为“F4”一员了。巧的是，2月11日，社区民警刘洋收到一条微信：“刘洋警官，你好，在吗？前两天你们到小区里来排查、执勤，我看见你们有的人头发都很长了，现在理发店不营业，我想以自己的方式为抗疫工作尽一点力，为大家义剪，你看行吗？”微信是“Tony”老师孙先生发来的。隔天，社区民警就将孙先生接了来，孙先生挥舞剪刀……一个接一个，口岸派出所40余名民警、辅警清爽地剪去了“烦恼丝”，精神焕发，继续战“疫”。 原图 ,,http://wx3.sinaimg.cn/large/be780da6gy1gbvqpjhymaj20b40c90vz.jpg,无,无,2020-02-14 15:09,微博 weibo.com,10,2,2
Iu9IgjkH0,"#微观民生#【长城汽车泰州整车项目复工】全市上下高度关注的长城汽车泰州整车项目经过精心准备后，符合复工标准，经批准于2月11日正式复工。长城汽车泰州整车项目先期总投资80亿元,主要生产具有核心竞争力的哈弗品牌新平台产品及新能源汽车。计划于2020年10月底整车批量下线。长城汽车泰州整车项目严格按照《泰州市企业复工疫情防控工作导则》，结合项目施工特点，从严从细制定了安全生产施工方案、疫情防控方案，建立了以项目经理为首的疫情防控小组和安全生产管理小组，全面负责施工现场的疫情防控工作。目前，该项目施工单位共召集员工170多人，多为高港区本地员工，少数从外市、外省返回的关键岗位员工已采取14天隔离措施。 ",,无,无,无,2020-02-14 14:13,微博 weibo.com,4,1,0
Iu9ygF5bd,#送硬核江苏上热搜##微观民生# 速看！苏锡常通泰联合发文，共建物资运输“朋友圈”……速看！苏锡常通泰联合发文，共建物资运输“朋友圈”……  ,,无,无,无,2020-02-14 13:48,OPPO R9,11,0,8
Iu94TfsF4,#微观民生# 待疫情结束，泰州旅游景点将向TA们免费开放……待疫情结束，泰州旅游景点将向TA们免费开放……  ,,无,无,无,2020-02-14 12:36,微博 weibo.com,16,4,3
Iu8PRwLAZ,#文艺苏军战疫行动# #文化泰州#【征集“万众一心 抗击疫情”主题文艺作品】为贯彻落实中央、省市委的决策部署，充分发扬泰州文艺界敢于担当的精神，决定面向全市广大文艺工作者开展“万众一心  抗击疫情”主题文艺作品征集活动。主题为反映奋战在疫情防控一线的白衣天使和有关工作人员的感人事迹，宣传在抗击疫情中涌现出来的优秀人物和先进事迹，鼓舞士气，振奋精神，讴歌真英雄，传播正能量。此次征集的艺术形式包括文学、美术、书法、摄影、短视频、音乐、曲艺等，作品要求短小精悍、新颖别致，适合网络传播；投稿作品须为原创作品；小说、非虚构作品篇幅不超8000字。所有征集作品一律通过网络投稿，谢绝手稿（美术、书法作品请处理成电子图片）。投稿邮箱：tz86891863@163.com，投稿请留作者真实姓名、电话、单位、详细通信地址等信息。投稿时间即日起至2020年2月28日止。联系电话：86891880。 ,,无,无,无,2020-02-14 11:59,微博 weibo.com,2,0,0
Iu8tYBXsU,等春来，我们好好拥抱http://t.cn/A6hGgpmR  ,,无,无,无,2020-02-14 11:05,360安全浏览器,4,1,2
Iu8tmcRbm,这个春天，平安就是幸福，坚持就是胜利！http://t.cn/A6hq9RVw  ,,无,无,无,2020-02-14 11:03,360安全浏览器,4,2,0
Iu8tdmuH9,权威发布！复工复产必读！权威发布！复工复产必读！  ,,无,无,无,2020-02-14 11:03,360安全浏览器,1,2,2
Iu8t4e6Fb,重要提醒！坐火车返程会有这些新变化！重要提醒！坐火车返程会有这些新变化！  ,,无,无,无,2020-02-14 11:02,360安全浏览器,2,1,4
Iu8sV3uFH,抗疫路上，为你而歌 | 全国优秀“战疫”公益歌曲展播系列（十八）抗疫路上，为你而歌 | 全国优秀“战疫”公益歌曲展播系列（十八）  ,,无,无,无,2020-02-14 11:02,360安全浏览器,2,2,0
Iu8okawlO,战“疫”进行时，别被这些谣言乱了阵脚！让我们一起做谣言终结者战“疫”进行时，别被这些谣言乱了阵脚！让我们一起做谣言终结者  ,,无,无,无,2020-02-14 10:51,360安全浏览器,3,2,0
